,id_solicitante,renta,pension,tipo_pension,estado_civil,pension_conyuge
0,1,0,15323,tipo_3,soltero/a,
1,2,8400,20950,tipo_5,viudo/a,
2,3,15000,38252,tipo_10,soltero/a,
3,4,18000,23416,tipo_7,soltero/a,
4,5,0,10026,tipo_1,casado/a,7090
5,6,0,39116,tipo_10,casado/a,23872
6,7,0,13682,tipo_2,soltero/a,
7,8,8400,9654,tipo_1,soltero/a,
8,9,21000,15829,tipo_3,soltero/a,18469
9,10,0,27081,tipo_8,casado/a,
10,11,18000,8798,tipo_1,soltero/a,
11,12,18000,15618,tipo_3,casado/a,
12,13,8400,11696,tipo_1,soltero/a,
13,14,15000,11880,tipo_1,casado/a,
14,15,0,27499,tipo_9,casado/a,15809
15,16,12000,26997,tipo_8,viudo/a,
16,17,21000,36075,tipo_10,soltero/a,
17,18,21000,21892,tipo_6,soltero/a,11789
18,19,15000,13951,tipo_2,casado/a,
19,20,0,8548,tipo_1,casado/a,
20,21,21000,34831,tipo_10,casado/a,12651
21,22,8400,7725,tipo_1,viudo/a,33619
22,23,21000,15435,tipo_3,casado/a,
23,24,8400,17245,tipo_4,casado/a,
24,25,15000,36057,tipo_10,casado/a,
25,26,0,29901,tipo_10,viudo/a,12253
26,27,12000,20514,tipo_5,viudo/a,42327
27,28,18000,42251,tipo_10,viudo/a,
28,29,18000,16890,tipo_4,casado/a,
29,30,18000,8247,tipo_1,casado/a,
30,31,8400,30550,tipo_10,viudo/a,
31,32,21000,27469,tipo_9,viudo/a,17966
32,33,15000,30760,tipo_10,casado/a,20478
33,34,12000,19872,tipo_5,viudo/a,
34,35,8400,24955,tipo_7,soltero/a,
35,36,0,34876,tipo_10,soltero/a,
36,37,21000,37000,tipo_10,viudo/a,
37,38,8400,11379,tipo_1,viudo/a,31567
38,39,21000,30755,tipo_10,soltero/a,
39,40,21000,10385,tipo_1,viudo/a,
40,41,18000,21939,tipo_6,casado/a,
41,42,21000,29986,tipo_10,viudo/a,9662
42,43,8400,24558,tipo_7,viudo/a,
43,44,12000,29815,tipo_10,casado/a,
44,45,0,18537,tipo_4,viudo/a,10987
45,46,21000,26174,tipo_8,viudo/a,39761
46,47,15000,35425,tipo_10,viudo/a,14809
47,48,12000,37832,tipo_10,viudo/a,16883
48,49,15000,33547,tipo_10,viudo/a,
49,50,18000,16285,tipo_3,casado/a,22807
50,51,21000,19762,tipo_5,soltero/a,
51,52,18000,36344,tipo_10,soltero/a,
52,53,12000,20593,tipo_5,viudo/a,33348
53,54,18000,14875,tipo_3,viudo/a,24250
54,55,18000,15957,tipo_3,casado/a,
55,56,18000,28459,tipo_9,soltero/a,30353
56,57,8400,12431,tipo_1,soltero/a,
57,58,8400,37029,tipo_10,soltero/a,32292
58,59,21000,37906,tipo_10,soltero/a,
59,60,21000,28575,tipo_9,casado/a,41956
60,61,12000,20208,tipo_5,soltero/a,
61,62,18000,8911,tipo_1,viudo/a,
62,63,15000,30830,tipo_10,soltero/a,26390
63,64,15000,17160,tipo_4,soltero/a,20162
64,65,18000,25284,tipo_8,casado/a,
65,66,18000,17779,tipo_4,soltero/a,
66,67,21000,28342,tipo_9,viudo/a,42614
67,68,15000,30586,tipo_10,soltero/a,
68,69,0,38883,tipo_10,soltero/a,
69,70,15000,26176,tipo_8,soltero/a,
70,71,21000,24926,tipo_7,viudo/a,11319
71,72,0,24887,tipo_7,casado/a,
72,73,21000,7279,tipo_1,soltero/a,
73,74,8400,13411,tipo_2,viudo/a,40682
74,75,12000,37137,tipo_10,soltero/a,23444
75,76,8400,22366,tipo_6,casado/a,
76,77,21000,35210,tipo_10,soltero/a,24176
77,78,15000,18734,tipo_4,soltero/a,8800
78,79,15000,9395,tipo_1,soltero/a,
79,80,12000,22634,tipo_6,casado/a,9442
80,81,0,14791,tipo_3,soltero/a,
81,82,0,42000,tipo_10,viudo/a,34423
82,83,8400,37993,tipo_10,viudo/a,
83,84,12000,14875,tipo_3,soltero/a,
84,85,21000,37017,tipo_10,soltero/a,
85,86,21000,9190,tipo_1,casado/a,
86,87,21000,21013,tipo_6,casado/a,
87,88,21000,34419,tipo_10,soltero/a,
88,89,8400,27791,tipo_9,casado/a,
89,90,12000,23748,tipo_7,viudo/a,
90,91,0,40945,tipo_10,viudo/a,35346
