,destino,plazas,duracion_dias,coste_viaje_dia,coste_viaje_final,huella_carbono
0,Las Palmas de Gran Canaria,16,8,80,640,29
1,Vigo,5,6,100,600,14
2,Poza de la Sal,17,1,70,70,4
3,Pontevedra,4,2,30,60,26
4,Poza de la Sal,11,2,50,100,27
5,Yanguas,6,4,50,200,8
6,Soria,7,4,75,300,10
7,Oviedo,18,6,30,180,15
8,Yanguas,15,5,60,300,23
9,Cudillero,12,8,30,240,19
10,Palma de Mallorca,1,9,130,1170,8
11,Ronda,18,2,50,100,4
12,Logroño,10,9,100,900,19
13,Albarracín,4,3,60,180,27
14,Besalú,12,7,30,210,27
15,Cadaqués,2,9,70,630,28
16,Frias,18,8,30,240,24
17,Badajoz,8,5,130,650,20
18,Pontevedra,16,7,30,210,23
19,Frias,7,5,40,200,15
20,Medinaceli,3,5,70,350,17
21,Pamplona,1,9,80,720,23
22,Bilbao,0,5,90,450,12
23,Lleida,6,1,130,130,27
24,Almagro,4,8,70,560,12
25,Teruel,4,6,110,660,24
26,Almagro,19,6,30,180,3
27,Medinaceli,14,6,70,420,5
28,Mogarraz,1,2,70,140,9
29,Ciudad Real,13,3,130,390,4
30,Sepúlveda,3,6,60,360,14
31,Palma de Mallorca,19,7,130,910,8
32,Huelva,16,3,110,330,11
33,Aracena,18,4,50,200,19
34,Sevilla,8,3,75,225,5
35,Medinaceli,10,5,40,200,20
36,Candelario,7,5,50,250,24
37,Palma de Mallorca,8,5,130,650,24
38,Logroño,11,7,130,910,22
39,Frias,5,5,40,200,28
40,Monteagudo de las Vicarías,3,2,40,80,27
41,Huesca,3,6,110,660,1
42,Málaga,19,2,110,220,21
43,Poza de la Sal,17,3,60,180,21
44,Cudillero,9,9,30,270,14
45,Ávila,4,5,75,375,1
46,Chinchón,10,5,30,150,18
47,Santillana del Mar,17,6,60,360,9
48,Yanguas,15,8,30,240,5
49,Caleruega,6,7,40,280,14
50,Pals,16,8,60,480,22
51,Albarracín,9,2,40,80,28
52,Aínsa,12,7,50,350,18
53,Ujue,16,2,40,80,29
54,Frias,6,5,30,150,8
55,Madrid,18,5,80,400,8
56,Ujue,13,9,40,360,2
57,Pedraza,17,9,40,360,21
58,Santillana del Mar,10,5,70,350,27
59,Girona,15,3,80,240,2
60,Ujue,18,3,60,180,2
61,Fornalutx,2,2,70,140,1
62,Combarro,17,1,70,70,28
63,Las Palmas de Gran Canaria,4,1,130,130,6
64,Vilafamés,2,5,50,250,6
65,Fornalutx,3,3,60,180,9
66,Ronda,14,4,70,280,9
67,Salamanca,17,1,60,60,8
68,Poza de la Sal,8,7,60,420,7
69,Aínsa,11,7,60,420,3
70,Alcalá del Júcar,4,5,60,300,28
71,Ujué,2,8,60,480,27
72,Cudillero,1,7,30,210,24
73,Bilbao,4,4,80,320,29
74,Valderrobres,18,3,40,120,3
75,Cudillero,7,2,50,100,14
76,Valldemossa,19,3,40,120,25
77,Alcalá del Júcar,13,3,70,210,23
78,Chinchón,9,6,30,180,28
79,Salamanca,8,6,60,360,12
80,Pedraza,9,8,50,400,8
81,Cudillero,11,9,60,540,8
82,Mogarraz,16,3,60,180,17
83,Yanguas,18,5,30,150,15
84,Palencia,8,6,75,450,15
85,Alcalá del Júcar,9,2,70,140,21
86,Aracena,19,3,60,180,16
87,Ávila,16,2,100,200,11
88,Pontevedra,18,6,30,180,9
89,Vilafamés,17,5,60,300,25
90,Combarro,14,4,40,160,1
91,Cáceres,18,3,100,300,12
92,Fornalutx,13,7,40,280,23
93,Girona,13,3,80,240,25
94,Huesca,1,7,75,525,16
95,Logroño,4,1,90,90,2
96,Cuenca,10,3,130,390,9
97,Bárcena Mayor,9,6,30,180,8
98,Lugo,10,7,100,700,27
99,Salamanca,13,5,30,150,7
100,Sepúlveda,12,1,70,70,29
101,Mogarraz,5,9,70,630,6
102,Las Palmas de Gran Canaria,4,8,80,640,2
103,Frias,12,2,40,80,15
104,Córdoba,16,2,90,180,10
105,Trujillo,19,9,30,270,28
106,Lerma,16,3,60,180,16
107,Alcalá del Júcar,15,8,60,480,26
108,Valladolid,17,7,130,910,14
109,Fornalutx,9,4,70,280,17
110,Pamplona,5,9,90,810,2
111,Zamora,0,2,130,260,26
112,Salamanca,19,2,40,80,5
113,Ávila,0,6,110,660,6
114,Vigo,9,4,75,300,11
115,Sevilla,2,6,75,450,22
116,Chinchón,5,4,50,200,1
117,Frias,3,4,40,160,10
118,Huesca,15,1,80,80,24
119,Aracena,9,4,60,240,22
120,Aínsa,5,1,50,50,20
121,Palencia,1,4,110,440,26
122,Mirambel,14,6,70,420,27
123,Lerma,0,3,50,150,3
124,Badajoz,2,9,90,810,17
125,Albarracín,16,6,60,360,4
126,Aínsa,0,4,60,240,17
127,Girona,6,9,75,675,21
128,Aínsa,19,6,50,300,22
129,Alcalá del Júcar,14,4,70,280,6
130,Bárcena Mayor,17,5,30,150,7
131,Alicante,0,6,75,450,4
132,Cuenca,8,3,80,240,12
133,Albarracín,11,4,70,280,1
134,Pamplona,0,6,75,450,15
135,Frias,6,5,30,150,28
136,Zamora,6,9,80,720,29
137,Soria,15,3,100,300,17
138,Santillana del Mar,1,1,60,60,2
139,Valderrobres,13,2,70,140,12
140,Almería,6,9,90,810,4
141,Ávila,12,4,80,320,21
142,Chinchón,2,9,30,270,27
143,Pals,9,4,50,200,10
144,Alquézar,14,4,60,240,7
145,León,19,2,110,220,12
146,Pals,8,9,30,270,13
147,Palencia,16,7,90,630,26
148,Cáceres,7,4,110,440,22
149,Chinchón,2,3,50,150,25
150,Combarro,13,7,70,490,19
151,Combarro,5,7,30,210,8
152,Badajoz,2,6,110,660,15
153,Pamplona,0,6,90,540,27
154,Huesca,15,8,110,880,13
155,Lugo,5,7,90,630,10
156,Tarragona,19,6,90,540,28
157,Almería,5,4,80,320,3
158,Valverde de los Arroyos,12,3,30,90,19
159,Alicante,6,2,100,200,20
160,Cudillero,16,5,60,300,15
161,Oviedo,9,7,50,350,22
162,Frias,7,5,30,150,24
163,Ronda,1,7,30,210,15
164,Sevilla,17,6,100,600,17
165,Morella,14,8,70,560,29
166,Sevilla,14,6,110,660,11
167,Guadalajara,11,9,75,675,6
168,Mogarraz,18,5,60,300,11
169,Calaceite,7,1,60,60,11
170,Almagro,14,5,40,200,23
171,Cudillero,8,5,60,300,19
172,Badajoz,15,1,110,110,24
173,Aínsa,15,3,40,120,23
174,Lerma,12,3,50,150,0
175,Ávila,5,5,75,375,16
176,Segovia,7,3,90,270,10
177,Cudillero,3,3,70,210,17
178,Huesca,9,3,100,300,27
179,Chinchón,18,1,70,70,15
180,Alquézar,0,3,30,90,28
181,Aínsa,17,1,70,70,8
182,Soria,12,9,100,900,27
183,Pals,8,4,70,280,10
184,Toledo,6,3,75,225,12
185,Albarracín,4,7,30,210,1
186,Huesca,9,1,110,110,27
187,Girona,3,5,80,400,24
188,Combarro,15,1,50,50,0
189,Almagro,1,2,60,120,13
190,Alcalá del Júcar,14,6,70,420,13
191,Zaragoza,12,6,75,450,16
192,Ciudad Real,15,1,90,90,7
193,Ávila,11,4,130,520,22
194,Chinchón,1,7,50,350,11
195,Ujue,17,7,30,210,22
196,Chinchón,9,8,50,400,25
197,Bilbao,3,2,130,260,21
198,Sevilla,4,5,75,375,4
199,Mogarraz,10,7,30,210,11
200,Cáceres,18,4,110,440,19
201,Sevilla,4,2,75,150,4
202,Cudillero,8,8,40,320,10
203,Yanguas,3,2,40,80,25
204,Pamplona,4,1,80,80,23
205,Huelva,2,3,90,270,7
206,Albarracín,5,7,30,210,2
207,Lleida,1,8,75,600,21
208,Chinchón,14,8,60,480,26
209,Chinchón,16,2,30,60,14
210,Cudillero,4,1,50,50,29
211,Bilbao,4,4,75,300,23
212,Tarragona,1,6,90,540,3
213,Chinchón,15,9,50,450,10
214,Candelario,18,4,50,200,9
215,Barcelona,1,7,130,910,13
216,Girona,15,3,110,330,0
217,Chinchón,0,8,30,240,10
218,Valldemossa,13,1,70,70,25
219,Valladolid,11,4,75,300,16
220,Málaga,15,2,90,180,6
221,Morella,2,6,50,300,19
222,Almagro,0,6,70,420,1
223,Teruel,3,3,110,330,27
224,León,1,1,130,130,24
225,Aracena,6,1,40,40,2
226,Lugo,6,8,110,880,14
227,Ourense,12,1,130,130,13
228,Zaragoza,12,9,110,990,26
229,Ujue,4,2,70,140,19
230,Sevilla,16,7,80,560,16
231,Albarracín,13,1,40,40,11
232,Almagro,7,2,70,140,25
233,Ronda,13,8,30,240,3
234,Mirambel,17,8,70,560,17
235,Frias,9,8,70,560,13
236,Barcelona,16,7,130,910,14
237,Bárcena Mayor,6,2,30,60,23
238,Pamplona,12,2,75,150,15
239,Segovia,1,8,90,720,9
240,Cudillero,5,5,60,300,28
241,Alcalá del Júcar,8,6,40,240,21
242,León,19,7,80,560,4
243,Cáceres,9,2,110,220,15
244,Palencia,8,3,75,225,2
245,Chinchón,6,2,60,120,21
246,Mirambel,10,7,30,210,7
247,Chinchón,15,8,70,560,26
248,Albarracín,18,3,30,90,12
249,Ciudad Real,16,3,75,225,15
250,Valderrobres,7,9,60,540,9
251,Medinaceli,7,7,70,490,1
252,Salamanca,4,5,30,150,26
253,Castellón de la Plana,1,6,90,540,18
254,Caleruega,4,9,40,360,9
255,Ávila,14,3,90,270,21
256,Valencia,2,4,100,400,3
257,Pedraza,16,4,70,280,11
258,Alcalá del Júcar,0,4,70,280,28
259,Ujué,0,5,50,250,1
260,Aracena,6,5,40,200,20
261,Ávila,5,2,100,200,14
262,Candelario,7,2,50,100,18
263,Alcalá del Júcar,0,3,30,90,24
264,Valencia,2,9,130,1170,10
265,Fornalutx,6,8,50,400,17
266,Besalú,19,1,60,60,3
267,Frias,8,4,60,240,27
268,Sevilla,19,5,90,450,15
269,Sepúlveda,9,7,60,420,21
270,Frias,17,4,40,160,15
271,Huesca,1,4,90,360,8
272,Frias,17,7,60,420,16
273,Ujue,7,6,60,360,6
274,Palma de Mallorca,3,9,130,1170,10
275,Ujue,1,9,50,450,28
276,Monteagudo de las Vicarías,9,4,70,280,22
277,Almagro,16,3,30,90,16
278,Besalú,15,2,50,100,27
279,Aínsa,0,2,60,120,15
280,Caleruega,15,4,50,200,25
281,La Alberca,8,9,60,540,12
282,Las Palmas de Gran Canaria,3,5,110,550,12
283,Sepúlveda,18,9,50,450,6
284,Almagro,10,1,40,40,11
285,Albarracín,16,2,70,140,0
286,Ciudad Real,8,3,80,240,5
287,Oviedo,2,5,50,250,18
288,Frigiliana,4,4,30,120,3
289,La Alberca,9,6,50,300,16
290,Peñalba de Santiago,5,6,30,180,27
291,Zamora,5,4,100,400,7
292,Aínsa,9,1,70,70,13
293,Mogarraz,8,1,70,70,19
294,Santillana del Mar,2,5,60,300,24
295,Morella,7,4,70,280,28
296,Almagro,16,2,70,140,6
297,Castellón de la Plana,15,1,100,100,14
298,Chinchón,19,4,70,280,16
299,Aínsa,1,2,70,140,25
300,Ávila,7,3,100,300,23
301,Jaén,4,9,80,720,14
302,Soria,2,7,90,630,13
303,Cuenca,8,8,80,640,19
304,Morella,5,2,70,140,14
305,Madrid,18,7,80,560,2
306,Mogarraz,6,8,40,320,8
307,Valldemossa,12,1,40,40,21
308,Cadaqués,11,4,50,200,16
309,Oviedo,7,9,50,450,25
310,Huesca,15,1,75,75,6
311,Mirambel,11,4,70,280,22
312,Ujue,12,6,70,420,22
313,Yanguas,6,9,50,450,23
314,Las Palmas de Gran Canaria,15,4,80,320,19
315,Yanguas,15,5,50,250,6
316,Toledo,6,4,100,400,29
317,Frias,6,9,40,360,19
318,Girona,16,6,80,480,0
319,Bárcena Mayor,12,9,40,360,21
320,Medinaceli,19,2,70,140,17
321,Soria,12,4,80,320,20
322,Cadaqués,1,9,50,450,13
323,Ronda,4,5,40,200,7
324,Alcalá del Júcar,6,7,60,420,6
325,Barcelona,8,8,130,1040,8
326,Medinaceli,6,3,40,120,24
327,Valldemossa,11,3,30,90,6
328,Santillana del Mar,4,5,50,250,9
329,Segovia,10,7,80,560,15
330,Ávila,11,6,80,480,14
331,Ávila,3,4,80,320,4
332,Albarracín,9,9,50,450,28
333,Murcia,5,8,130,1040,22
334,Vilafamés,7,7,40,280,19
335,Cuenca,18,4,75,300,8
336,Oviedo,0,3,70,210,17
337,Ciudad Real,16,3,90,270,4
338,Almagro,4,1,30,30,0
339,Jaén,18,7,130,910,15
340,Teruel,14,6,100,600,15
341,Mogarraz,7,2,30,60,10
342,Madrid,1,7,110,770,27
343,Cudillero,10,1,50,50,18
344,Valladolid,1,7,110,770,12
345,Cáceres,6,3,80,240,13
346,Castellón de la Plana,16,5,90,450,1
347,Aracena,8,3,40,120,16
348,Santillana del Mar,16,5,60,300,0
349,Málaga,10,4,90,360,16
350,Ourense,7,2,100,200,0
351,Poza de la Sal,8,2,40,80,18
352,Zamora,1,9,110,990,6
353,Ávila,7,3,80,240,21
354,Sepúlveda,15,3,60,180,18
355,Zamora,17,4,100,400,5
356,Teruel,13,8,75,600,22
357,Soria,19,3,110,330,26
358,Caleruega,10,2,70,140,27
359,Aínsa,1,3,50,150,3
360,Logroño,1,3,75,225,28
361,Caleruega,10,8,60,480,8
362,Soria,10,3,110,330,11
363,Frias,8,2,60,120,0
364,Bilbao,5,9,100,900,17
365,Vilafamés,9,2,60,120,7
366,Madrid,3,3,90,270,25
367,Frias,12,9,60,540,27
368,Badajoz,3,3,100,300,26
369,Huesca,6,5,90,450,17
370,Frias,2,5,70,350,24
371,Alcalá del Júcar,16,4,40,160,11
372,Huesca,1,3,100,300,14
373,Alicante,1,8,90,720,5
374,Chinchón,16,6,70,420,29
375,Zaragoza,4,2,90,180,18
376,Castellón de la Plana,2,9,90,810,10
377,Mogarraz,11,8,60,480,1
378,Lugo,5,4,80,320,11
379,Santillana del Mar,18,1,30,30,9
380,Vilafamés,4,1,40,40,21
381,Mirambel,5,9,70,630,15
382,Poza de la Sal,1,6,60,360,19
383,Valladolid,18,2,130,260,11
384,Mogarraz,14,4,50,200,28
385,Córdoba,18,9,100,900,25
386,Frias,4,9,40,360,28
387,Valderrobres,11,6,60,360,24
388,Aínsa,7,7,50,350,15
389,Ronda,5,3,30,90,22
390,Soria,0,6,130,780,7
391,Huesca,4,4,75,300,27
392,Cudillero,0,9,30,270,16
393,Cuenca,18,8,110,880,8
394,Bilbao,12,8,110,880,11
395,Soria,5,8,110,880,0
396,Castellón de la Plana,10,8,90,720,11
397,Zamora,15,4,90,360,25
398,Tarragona,15,2,90,180,12
399,Santander,9,1,130,130,5
400,Valderrobres,10,4,40,160,24
401,Alcalá del Júcar,9,6,30,180,5
402,Chinchón,3,2,70,140,14
403,Peñalba de Santiago,4,6,30,180,18
404,Pals,9,4,40,160,13
405,Besalú,11,7,50,350,28
406,Toledo,18,9,130,1170,8
407,Ujue,12,7,60,420,9
408,Zaragoza,18,2,130,260,4
409,Ávila,11,4,80,320,0
410,Alcalá del Júcar,2,7,60,420,17
411,Santillana del Mar,4,9,60,540,15
412,Bilbao,7,9,130,1170,11
413,Morella,15,9,30,270,11
414,Lugo,0,4,110,440,22
415,Guadalajara,0,5,75,375,7
416,Toledo,16,3,110,330,27
417,Alquézar,7,8,30,240,15
418,Pontevedra,1,4,50,200,22
419,Poza de la Sal,16,2,60,120,24
420,Huelva,6,5,90,450,13
421,Bilbao,6,5,80,400,13
422,Pontevedra,9,5,40,200,2
423,Caleruega,7,8,30,240,0
424,Ourense,6,5,100,500,7
425,Cadaqués,13,9,30,270,23
426,Madrid,6,5,75,375,5
