,id_solicitante,id_viaje
0,1,3722
75,1,857
39,1,2035
116,1,3371
159,2,3734
202,2,3688
268,2,957
242,2,4737
350,3,1673
396,3,4433
307,3,3710
436,3,945
531,4,600
623,4,3983
583,4,1691
487,4,4006
792,5,4992
709,5,4871
745,5,3786
669,5,51
838,6,3389
924,6,2202
965,6,1463
873,6,209
1049,7,864
1090,7,4045
1003,7,3059
1126,7,2951
1165,8,4796
1211,8,4103
1297,8,429
1250,8,2237
1329,9,68
1371,9,2557
1418,9,4758
1464,9,2723
1506,10,1634
1544,10,2948
1585,10,18
1615,10,1414
1793,11,79
1746,11,2918
1668,11,3955
1707,11,1534
269,12,957
1827,12,3851
1917,12,3793
1875,12,4529
2050,13,769
2092,13,2731
2000,13,4042
1956,13,4165
2197,14,1208
2123,14,748
2160,14,4399
2231,14,1131
2390,15,2167
2345,15,490
2299,15,2064
2261,15,1615
2524,16,3049
2439,16,3672
2484,16,2625
2569,16,3885
2607,17,4499
2651,17,267
2740,17,2967
2694,17,3028
2824,18,4059
2906,18,2249
2861,18,486
2781,18,749
3055,19,3837
3019,19,3263
2981,19,3038
2943,19,780
3138,20,3007
3222,20,1898
3178,20,2423
3095,20,1346
3262,21,3048
3371,21,2785
3339,21,1791
3304,21,4933
3442,22,3615
3496,22,3528
3545,22,333
3410,22,106
3624,23,1966
3666,23,653
3581,23,2725
3710,23,4679
3839,24,2565
3805,24,4073
3756,24,3160
3879,24,3091
4052,25,2195
3932,25,1484
4010,25,512
3972,25,909
4142,26,3597
4091,26,1403
4170,26,2849
4203,26,1657
4275,27,3281
4342,27,3187
4301,27,4512
4237,27,3034
4388,28,4085
4529,28,2791
4433,28,798
4481,28,2102
4616,29,3236
4702,29,4466
4660,29,770
4570,29,940
4828,30,4489
4859,30,1893
4748,30,3247
4783,30,41
4970,31,2071
4902,31,1924
5010,31,2541
4932,31,2487
5050,32,3149
5133,32,2772
5090,32,4408
5184,32,1219
5218,33,2216
5263,33,89
5304,33,3694
5346,33,65
5395,34,4533
5444,34,2869
5540,34,105
5482,34,1120
5574,35,3655
5653,35,3846
5681,35,91
5621,35,4861
5762,36,4699
5797,36,2597
5829,36,2567
5719,36,1505
270,37,957
5953,37,1794
5918,37,3873
5862,37,3923
6047,38,2085
584,38,1691
5998,38,1499
6084,38,3179
6254,39,4952
6218,39,4336
6128,39,2156
6171,39,830
6380,40,1103
6334,40,1041
6408,40,4148
6293,40,4324
6514,41,568
6473,41,1573
6599,41,62
6557,41,3579
6640,42,3704
6684,42,2698
6716,42,2004
6764,42,2087
6857,43,3085
6937,43,4762
6812,43,3556
6892,43,1357
7065,44,1401
6974,44,3383
7121,44,1438
7018,44,4639
7166,45,342
7239,45,2749
7201,45,101
7280,45,4129
7447,46,3845
7326,46,3702
7363,46,2491
7404,46,2690
7525,47,87
7566,47,2001
7486,47,1938
7606,47,2116
7655,48,3907
7700,48,1845
7758,48,2925
7791,48,2462
7825,49,1455
7892,49,3175
7931,49,586
7854,49,169
7966,50,1323
8052,50,1904
8097,50,1055
8005,50,9
8225,51,1400
8189,51,162
8268,51,4016
8143,51,4688
8370,52,3614
8309,52,1643
8341,52,4352
8422,52,3813
8492,53,2400
8571,53,2637
8460,53,4050
8532,53,886
8616,54,4111
8663,54,356
8701,54,431
5134,54,2772
8794,55,3294
8833,55,109
8876,55,825
8752,55,504
8965,56,1686
8927,56,1425
2825,56,4059
9009,56,3775
9047,57,1897
9140,57,1740
9094,57,2635
9171,57,4780
9257,58,4084
9214,58,2949
9346,58,2755
9304,58,1715
9466,59,3471
9436,59,283
9519,59,1614
9383,59,3029
9567,60,1413
9646,60,4544
9609,60,2456
9688,60,870
9783,61,1232
9736,61,4496
9816,61,2981
9854,61,4484
9945,62,3938
10028,62,2814
9900,62,3356
9984,62,249
10067,63,75
10154,63,4326
10201,63,2142
10107,63,4685
10277,64,4013
10320,64,3965
10237,64,1518
2741,64,2967
10441,65,1675
10487,65,1867
10395,65,2499
